YBR240C,812.962.790.923.786,YDL080C
YHR151C,126.299.948.542.569,YNL193W
YDR144C,126.299.948.542.569,YLR453C
YDR057W,544.498.967.386.216,YMR307W
YDR057W,573.290.479.777.183,YOL013C
YDR057W,544.498.967.386.216,YDR144C
YOL101C,544.498.967.386.216,YPL240C
YJR097W,126.299.948.542.569,YNL092W
YDR287W,126.299.948.542.569,YHR163W
YLR407W,95.733.401.595.157,YOR061W
YCR001W,126.299.948.542.569,YOR241W
YCR001W,573.290.479.777.183,YEL037C
YDR349C,126.299.948.542.569,YOR007C
YDR349C,126.299.948.542.569,YLR099C
YDR349C,573.290.479.777.183,YPL106C
YIR011C,544.498.967.386.216,YPL240C
YIR011C,812.962.790.923.786,YNL189W
YCR027C,126.299.948.542.569,YER179W
YCR027C,126.299.948.542.569,YOL083W
YLR387C,126.299.948.542.569,YOL056W
YFL027C,126.299.948.542.569,YKL195W
YFL027C,126.299.948.542.569,YHR115C
YPL029W,573.290.479.777.183,YPL194W
YPL162C,363.330.446.239.122,YPR079W
YOR218C,544.498.967.386.216,YPL240C
YEL006W,126.299.948.542.569,YLR373C
YDR239C,573.290.479.777.183,YGR040W
YLR351C,126.299.948.542.569,YOR327C
YJR146W,126.299.948.542.569,YLR246W
YJR146W,126.299.948.542.569,YLR288C
YBR113W,363.330.446.239.122,YDL043C
YBR064W,126.299.948.542.569,YOR317W
YBR064W,59.764.790.426.787,YJL159W
YDR126W,363.330.446.239.122,YEL002C
YNR062C,573.290.479.777.183,YOR057W
YLR412W,126.299.948.542.569,YOL031C
YNL082W,544.498.967.386.216,YOL090W
YKR072C,982.896.104.369.073,YML016C
YKR038C,573.290.479.777.183,YML036W
YER109C,573.290.479.777.183,YMR259C
YER109C,544.498.967.386.216,YMR164C
YER109C,126.299.948.542.569,YGL070C
YER109C,544.498.967.386.216,YHR084W
YFL068W,126.299.948.542.569,YMR159C
YFL068W,126.299.948.542.569,YGR218W
YDR031W,126.299.948.542.569,YJR091C
YDL049C,126.299.948.542.569,YOR311C
YBR226C,126.299.948.542.569,YDL049C
YDR310C,544.498.967.386.216,YNL261W
YDR310C,544.498.967.386.216,YLL004W
YDR310C,573.290.479.777.183,YIL147C
YDR310C,986.411.357.207.927,YOL068C
YDR310C,946.703.154.398.779,YOR279C
YDR310C,573.290.479.777.183,YHR152W
YDR310C,573.290.479.777.183,YLL024C
YKL197C,961.931.691.598.368,YNL329C
YMR110C,573.290.479.777.183,YPR016C
YMR110C,573.290.479.777.183,YPR080W
YAL067C,363.330.446.239.122,YER118C
YAL067C,363.330.446.239.122,YHR042W
YAL067C,363.330.446.239.122,YGR260W
YJR135W-A,940.491.724.758.367,YNR017W
YMR323W,126.299.948.542.569,YOR128C
YMR323W,573.290.479.777.183,YOR351C
YDR464W,544.498.967.386.216,YNL135C
YDR464W,544.498.967.386.216,YHR077C
YDR464W,573.290.479.777.183,YGR240C
YLR084C,544.498.967.386.216,YOR153W
YLR084C,544.498.967.386.216,YOR301W
YIL011W,126.299.948.542.569,YMR201C
YNL079C,544.498.967.386.216,YPL240C
YJL153C,126.299.948.542.569,YJL190C
YDR053W,573.290.479.777.183,YPR016C
YGR053C,126.299.948.542.569,YPR086W
YJR003C,126.299.948.542.569,YOL030W
YPL069C,573.290.479.777.183,YPR080W
YPL069C,544.498.967.386.216,YPL240C
YFR030W,544.498.967.386.216,YGR262C
YFR030W,573.290.479.777.183,YJR137C
YFR030W,573.290.479.777.183,YIL094C
YFR030W,573.290.479.777.183,YGL150C
YFR030W,573.290.479.777.183,YMR108W
YFR030W,573.290.479.777.183,YLR291C
YFR030W,573.290.479.777.183,YPR010C
YGL175C,544.498.967.386.216,YJL092W
YGL175C,573.290.479.777.183,YGR103W
YGL175C,126.299.948.542.569,YNL189W
YGL175C,126.299.948.542.569,YLR347C
YLL049W,126.299.948.542.569,YLR423C
YLL049W,59.764.790.426.787,YNR069C
YLL049W,126.299.948.542.569,YMR294W
YFL023W,126.299.948.542.569,YLR243W
YFL023W,371.369.333.889.241,YLR200W
YFL023W,573.290.479.777.183,YKL060C
YBR295W,363.330.446.239.122,YHR123W
YGL226W,126.299.948.542.569,YLR295C
YLR322W,59.764.790.426.787,YNL025C
YBL086C,126.299.948.542.569,YJR040W
YBL086C,126.299.948.542.569,YLR322W
YLR352W,126.299.948.542.569,YLR447C
YKR063C,573.290.479.777.183,YLR403W
YJL182C,544.498.967.386.216,YPL240C
YIL072W,995.237.017.513.303,YLR263W
YIL072W,812.962.790.923.786,YOR351C
YDR162C,812.962.790.923.786,YHL007C
YDR162C,363.330.446.239.122,YNL094W
YDR162C,812.962.790.923.786,YKR048C
YDR162C,946.703.154.398.779,YJL128C
YCR102C,573.290.479.777.183,YNL134C
YDL078C,544.498.967.386.216,YOL147C
YDL078C,544.498.967.386.216,YPL240C
YMR169C,845.928.714.415.022,YMR170C
YEL068C,126.299.948.542.569,YKL002W
